Level;Type;Guid;GroupType;Abbreviations;AbbreviationPrefix;ExpandAt;ExpandAtDelimiters;ExpandAfter;ExpandAfterDelimiters;CaseSensitivity;ApplicationAvailabilityMode;ApplicationAvailabilityApplications;ShowInMenuBar;ShowInMenuBarAtFirstLevel;SuggestAbbreviations;Parameters;ContentType;Text;Html;Label;Tag;Note;ScriptType;ScriptingHost;ScriptWorkingDirectory;FileContent;IsRelative;DateCreated;LastTimeUsed
2;0;2d4dbd20-0a9c-4c85-b630-326af7579e86;0;\wp;;0;;0;;0;0;;False;False;False;;0;℘;;;;;;;;;;0;0
2;0;b2e2976f-0a53-4563-a68a-03bc9ac1f297;0;\P;;0;;0;;1;0;;False;False;False;;0;¶;;;;;;;;;;0;1608704370
2;0;8bf75dea-4b97-4dd8-b7f0-912bccafb3c4;0;\langle;;0;;0;;0;0;;False;False;False;;0;〈;;;;;;;;;;0;0
2;0;652d01c9-c1c2-47fd-8561-92cb265a7b0d;0;\rangle;;0;;0;;0;0;;False;False;False;;0;〉;;;;;;;;;;0;0
2;0;3e72adcb-3a69-4376-807d-ab7f376b4076;0;\triangleright;;0;;0;;0;0;;False;False;False;;0;▷;;;;;;;;;;0;0
2;0;9b326c69-4d9a-4b48-969a-ea037c32ae86;0;\triangleleft;;0;;0;;0;0;;False;False;False;;0;◁;;;;;;;;;;0;1608704591
2;0;cdfe7f43-b033-4480-b23b-5d093faa5f0d;0;" \bigtriangledown";;0;;0;;0;0;;False;False;False;;0;▽;;;;;;;;;;0;0
2;0;4eab9106-cec6-40f9-a61e-7f8b436a120c;0;\bigtriangleup;;0;;0;;0;0;;False;False;False;;0;△;;;;;;;;;;0;0
2;0;7258c976-5593-4f22-b6b8-b7045764a06b;0;\triangle;;0;;0;;0;0;;False;False;False;;0;△;;;;;;;;;;0;1608704586
2;0;cdf9d3a7-a13d-4340-8a7d-d58657652f0f;0;\oint;;0;;0;;0;0;;False;False;False;;0;∮;;;;;;;;;;0;0
2;0;4bc270dd-053e-4332-8879-9a4ff5020690;0;\vee;;0;;0;;0;0;;False;False;False;;0;∨;;;;;;;;;;0;0
2;0;6fa476db-fead-426d-a135-6b95cfae7a87;0;\wege;;0;;0;;0;0;;False;False;False;;0;∧;;;;;;;;;;0;0
2;0;f059863b-5379-450e-b2a7-04d4f9fea576;0;\bigcup;;0;;0;;0;0;;False;False;False;;0;⋃;;;;;;;;;;0;1608704540
2;0;4c151b49-5e44-4e18-8d84-da939327315e;0;\bigcap;;0;;0;;0;0;;False;False;False;;0;⋂;;;;;;;;;;0;0
2;0;03c05012-05ad-4ddb-a142-5cb5f5fdeb15;0;\hbar;;0;;0;;0;0;;False;False;False;;0;ℏ;;;;;;;;;;0;0
2;0;1c08bdce-b1ff-4d69-a39b-f40ee4fe7cf6;0;\aleph;;0;;0;;0;0;;False;False;False;;0;ℵ;;;;;;;;;;0;0
2;0;eee486ba-f915-4fb3-9caa-43d62ad66c1e;0;\Im;;0;;0;;0;0;;False;False;False;;0;ℑ;;;;;;;;;;0;0
2;0;72918ca2-32e1-46a7-abc0-1df2f8c7d8cc;0;\Re;;0;;0;;0;0;;False;False;False;;0;ℜ;;;;;;;;;;0;0
2;0;d3c0f804-51c7-45d7-b13c-e2fca99be0a7;0;\partial;;0;;0;;0;0;;False;False;False;;0;∂;;;;;;;;;;0;0
2;0;83751732-43ab-4049-8243-38da01daf275;0;\angle;;0;;0;;0;0;;False;False;False;;0;∠;;;;;;;;;;0;0
2;0;e095d476-56db-4617-a6f7-f33b0742e02d;0;"\degree
\textdegree
^\circ";;0;;0;;0;0;;False;False;False;;0;°;;;;;;;;;;0;1608704477
2;0;76a83153-9cbf-4a13-9dc1-6276fb6fea3e;0;\forall;;0;;0;;0;0;;False;False;False;;0;∀;;;;;;;;;;0;0
2;0;66d4c74f-9367-494b-aea1-9e3be53233a2;0;\int;;0;;0;;0;0;;False;False;False;;0;∫;;;;;;;;;;0;1608704307
2;0;7aa6d9dd-26fa-4e16-b8d0-95d85ecca964;0;\exists;;0;;0;;0;0;;False;False;False;;0;∃;;;;;;;;;;0;0
2;0;23da09e9-2ba3-4db0-a5ab-bda0cc503b00;0;\in;;0;;0;;0;0;;False;False;False;;0;∈;;;;;;;;;;0;1608704377
2;0;3e833da8-b63a-4d22-b50c-4b8c997cb970;0;\infty;;0;;0;;0;0;;False;False;False;;0;∞;;;;;;;;;;0;1608704374
2;0;5850d704-7c23-4a11-ad42-7ccc7e373dc8;0;\neg;;0;;0;;0;0;;False;False;False;;0;¬;;;;;;;;;;0;0
2;0;d716d34b-ec35-47bf-8970-9d9041717b06;0;\neq;;0;;0;;0;0;;False;False;False;;0;≠;;;;;;;;;;0;0
2;0;e0446af5-05d8-46f6-8c19-19df493ca167;0;\ne;;0;;0;;0;0;;False;False;False;;0;≠;;;;;;;;;;0;0
2;0;515336e2-2aaa-4a7a-bd71-60db965a018a;0;\approx;;0;;0;;0;0;;False;False;False;;0;≈;;;;;;;;;;0;0
